StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,1,2,3,4,5,6,7,8,9,self_timer_First Click,self_timer_Last Click,self_timer_Page Submit,self_timer_Click Count,1b,2b,3b,4b,5b,6b,7b,8b,9b,Q40_First Click,Q40_Last Click,Q40_Page Submit,Q40_Click Count,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,1. U N H T E D,2. E O S H U,3. U N A A G T,4. Y T H O I R D,5. O L A R C,6. J N I P M U G,7. H G I T W E,8. C L A L S O U,9. Y O M S E E V L D,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. U N H T E D,2. E O S H U,3. U N A A G T,4. Y T H O I R D,5. O L A R C,6. J N I P M U G,7. H G I T W E,8. C L A L S O U,9. Y O M S E E V L D,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Condition
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID8_FIRST_CLICK""}","{""ImportId"":""QID8_LAST_CLICK""}","{""ImportId"":""QID8_PAGE_SUBMIT""}","{""ImportId"":""QID8_CLICK_COUNT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_FIRST_CLICK""}","{""ImportId"":""QID40_LAST_CLICK""}","{""ImportId"":""QID40_PAGE_SUBMIT""}","{""ImportId"":""QID40_CLICK_COUNT""}","{""ImportId"":""Condition""}"
2017-02-26 16:22:31,2017-02-26 16:23:50,0,136.152.142.136,100,78,1,2017-02-26 16:23:51,R_55t8uUIEOPfORZT,,,,,37.866806030273,-122.25360107422,anonymous,2,2,2,2,2,2,2,2,2,40.268,54.116,57.803,9,,,,,,,,,,,,,,1
2017-02-26 23:47:41,2017-02-26 23:48:38,0,128.12.245.132,100,56,1,2017-02-26 23:48:39,R_1gO6ZShuv3Cda5y,,,,,37.41780090332,-122.17199707031,anonymous,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,14.872,35.878,36.423,11,2
2017-02-28 10:12:54,2017-02-28 10:13:09,1,,100,15,1,2017-02-28 10:13:10,R_1DvwtZYAP5jKG6u,,,,,37.41780090332,-122.17199707031,preview,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1.997,10.686,11.669,11,2
2017-02-28 10:13:16,2017-02-28 10:13:28,1,,100,12,1,2017-02-28 10:13:30,R_1lgkzLJd4o1PznZ,,,,,37.41780090332,-122.17199707031,preview,1,1,2,1,1,1,1,1,1,1.752,8.271,9.617,12,,,,,,,,,,,,,,1
2017-02-28 10:13:32,2017-02-28 10:13:46,1,,100,14,1,2017-02-28 10:13:47,R_8p606rKct6X3Izf,,,,,37.41780090332,-122.17199707031,preview,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2.368,9.536,11.3,12,2
